,total_sqft
0,1056
1,2600
3,1521
5,1170
11,2785
12,1000
14,2250
15,1175
16,1180
17,1540
18,2770
21,1755
22,2800
24,510
26,660
28,1151
29,1025
30,2475
31,1075
32,1760
33,1693
35,700
37,1724
41,1254
42,600
44,1330.74
46,970
47,1459
50,1270
51,1670
52,2010
53,1185
54,1600
55,1200
57,1500
61,845
62,5700
63,1160
66,1140
71,1358
72,1569
73,1240
74,2089
77,2511
80,1660
82,1326
84,1499
87,708
88,1060
90,1000
94,1296
96,2894
100,2502
101,650
102,2400
103,1007
104,1200
107,1640
109,1260
111,1413
112,1116
113,1530
115,2497
116,1540
120,1427
121,2061
122,5611
124,1282
126,1600
128,1500
130,1870
131,1600
132,880
134,1535
135,950
136,1360
137,1073
139,1260
141,3050
142,1563.05
144,1167
147,890
148,1612
150,1710
151,957
154,1125
155,1020
157,1735
158,2050
161,1063
162,1904
164,2000
165,1242
166,1425
167,1500
168,1060
169,1470
171,450
172,1152
173,1350
174,1550
178,705
179,770
180,1242
181,1700
182,2144
183,1704
184,1070
187,1025
188,1277
189,1200
191,1550
194,1200
195,1327
198,1400
202,1225
204,1260
205,1282
206,1909
207,1359
211,1595
213,1475
214,1580
215,1295
217,589
219,1787
220,1787
221,1475
223,984
225,2405
226,1080
230,1153
231,1148
232,1110
233,1100
234,1290
237,1933
240,645
242,645
243,1644
244,1285
246,910
247,1577
248,4050
249,2420
250,800
252,1270
257,1108
259,3045
260,2900
261,1500
262,1295
263,1162
264,1035
265,1600
267,1866
268,700
269,1804
271,1868
275,2026
276,1210
277,4111
278,1762
279,1252
280,861
281,1420
283,1490
285,1425
286,1200
288,1084
289,1015
290,1017
292,1069
293,1349
294,1005
295,1417
297,950
298,2000
300,1863
301,1010
302,1425
303,1450
304,1847
305,1100
306,525
307,1665
308,1664
309,1850
310,1438
311,1560
313,1550
317,1280
319,1113
320,1385
321,1128
324,2390
326,1464
328,1200
329,1150
330,1645
333,1192
334,2135
335,1173
336,1020
337,3122
341,1250
342,1325
343,1850
347,1260
348,1800
349,11
350,1100
351,1508
352,1592
353,1388
354,630
358,3252
359,1116
360,1308
364,1075
365,530
367,1075
368,930
369,1380
370,2483
371,1166
372,1050
373,2023.71
374,1200
375,1600
376,1935
377,451
378,1800
379,1400
380,1801
383,1160
385,950
388,1826
389,1245
390,1145
391,825
392,1693
393,1113.27
394,1460
395,1050
396,1260
398,1656
399,1208
400,1910
401,3252
404,1175
407,2390
412,750
414,1550
415,1760
416,1125
421,1991
422,1060
423,1105
424,985
426,1590
427,1120
428,1069
429,1933
430,1194
431,1150
433,1419
436,1450
437,1630
438,708
441,1250
442,1400
444,1750
445,1404
446,1715
447,630
448,1752.12
450,1295
451,1800
452,1346
454,1150
455,3309
456,1190
457,1620
459,5000
460,2450
461,1220
462,850
465,1150
466,1760
471,900
473,1130
